review,rating
Seems to be a first copy . Cause it's cover page is roughly finished and cut,1
I want to bring buyers attention that Flipkart has fallen to such low levels as to sell pirated books. It not just takes the entire experience away also makes me feel sad that Flipkart is now trying to steel livelihood from writers and publishers. They work so hard and put years to publish a book of lifetime. Please buy an original book at some authentic place to make sure the writers are being compensated for their hard work. I will never buy books from Flipkart again.,1
The book wasn't has expected. It was like worn out condition.,1
Ordered steve jobs writer is issac walter and 2 consecutive times i got the book from different random author.Original book has 600 something pages while this book has only 250 pages.. For buying steve jobs books. Dont go for 200rs option. They provide book with different author in this price .Please be aware,1
I know Price low but book quility is also Low,1
Please don't buy this book this is very cheap it.... Quality of pages is very very bad🤕🤮.. Photos printed is also bad.. letters are not clear...there is no book mark in it... Concentrate on flipcart assured products.... It is not f assuared,1
This book is not the original version. The content is fine but the print is terrible and the binding was torn. It's clearly a reprint.,1
Quality of paper is poor,1
Pages come out like hell,1
Paper quality is very low 😭😭,1
very poor quality at this price. old pages.,1
Page quality is 0,1
Page quality is poor,1
"Since the page quality was too bad, I was not able read many portion of book.",1
Book is good printing and paper quantity is pathetic.,1
Page quality is worst....Avoid this version of paperback..,1
"I ordered this book from Simon and Schuster publisher flipkart was showing it to be of rs.204 but when I got it was of little brown publisher the image quality of pictures in that book was just terrible,you can't see anything I wanted Simon publisher's book it was one of the top publishers in the world because I wanted good print quality of pictures, flipkart really bad service",1
"Very Bad Page Quality, It’s like photostated pages.",1
Bad quality,1
The book condition was worst,1
It does not contain 656 pages . Only 536 pages.,1
Page quality is not good.,1
"Very cheap quality, don't but, highly dissatisfied!",1
Got the wrong books.,1
"It's about product quality.. as I opened the book, all its pages were falling out. Quality of pages is very cheap.It has binding issuesThis is the worst copy I have ever bought in my life. I don't understand why flipcart is selling this duplicate product. It seems like a pirated copy.",1
Worst,1
Bad quality,1
Pirated book,1
Scam!! Selling pirated books stay way,1
Page quality is poor. Don't buy the book from this publisher. You'll have a terrible reading experience for such a great book.,1
Paper quality is very bad,1
Wrong author and horrible quality,1
Pirated book. Don't buy.,1
"Extremely poor quality printing in the pages, it's unimaginably bad printing... But at rupees 220 you can go for that...",1
Very very poor page & printing quality,1
This is a pirated edition! Don't buy it,1
Worst copy..!! Major pages missing,1
"The seller A.S. book is selling re printed books as this book's ink is getting stick in our hand and paper and printing quality is also poor, the original book's paper quality and printing quality is very good.",1
Worst ever paper quality,1
Pages and print not of good quality. Price difference on book as mention on site...,1
page quality and text quality is very disappointing,1
Copy of book was pirated...Worst quality of pages. I would give (- 5 ) minus five ratings. Dear flipkart look into this type of products.,1
Page quality worst and the quality in which it's arrived was not acceptable at all Nothing was same as shown in the FLIPKART -2/10 quality 3/10 pages 3/10 Condition 4/10 product rating,1
"Bad print, a photocopy.",1
